omega_cdm,100*theta_s
0.05,0.9255787982453544
0.050150150150150154,0.9259527388258342
0.050300300300300305,0.9263257863777964
0.050450450450450456,0.9266979268500612
0.050600600600600606,0.9270691765340826
0.05075075075075075,0.9274395693762434
0.0509009009009009,0.9278090334674152
0.05105105105105105,0.9281776264952748
0.0512012012012012,0.9285453447191083
0.051351351351351354,0.9289121969807048
0.051501501501501505,0.9292781563962206
0.051651651651651656,0.9296432550117156
0.05180180180180181,0.9300074952684546
0.05195195195195196,0.9303708930985678
0.0521021021021021,0.9307334154938459
0.05225225225225225,0.9310950530444552
0.052402402402402404,0.9314558557027254
0.052552552552552555,0.9318158191248839
0.052702702702702706,0.9321749445270388
0.05285285285285286,0.9325332175847905
0.05300300300300301,0.9328906832789757
0.05315315315315316,0.9332472792117493
0.05330330330330331,0.9336030260462698
0.05345345345345345,0.9339579911020817
0.053603603603603604,0.9343121053232765
0.053753753753753755,0.934665383449304
0.053903903903903906,0.935017854467411
0.05405405405405406,0.9353695156199319
0.05420420420420421,0.9357203478279003
0.05435435435435436,0.9360703956247391
0.05450450450450451,0.9364196459083862
0.05465465465465466,0.9367680711422184
0.054804804804804805,0.9371157042573693
0.054954954954954956,0.9374625347761875
0.05510510510510511,0.9378086122819379
0.05525525525525526,0.9381538679839444
0.05540540540540541,0.9384983496792519
0.05555555555555556,0.9388420602054993
0.05570570570570571,0.9391849790365996
0.05585585585585586,0.9395270748716299
0.05600600600600601,0.9398684536870116
0.056156156156156156,0.9402090584914978
0.05630630630630631,0.9405488177754256
0.05645645645645646,0.9408878588431835
0.05660660660660661,0.9412261396920117
0.05675675675675676,0.9415636621087482
0.05690690690690691,0.9419004117253275
0.05705705705705706,0.9422364339134006
0.05720720720720721,0.9425716597617029
0.057357357357357364,0.9429061575743275
0.05750750750750751,0.9432398858765119
0.05765765765765766,0.9435728936952719
0.05780780780780781,0.9439051391372135
0.05795795795795796,0.9442366596356894
0.05810810810810811,0.944567465445086
0.05825825825825826,0.9448974986776943
0.05840840840840841,0.9452268244737954
0.058558558558558564,0.9455553849123254
0.058708708708708715,0.9458832562733352
0.05885885885885886,0.9462103887210191
0.05900900900900902,0.946536784581593
0.05915915915915916,0.9468624726955527
0.05930930930930931,0.9471874416398178
0.05945945945945946,0.947511722107232
0.059609609609609614,0.9478352861163556
0.059759759759759765,0.9481581148715794
0.059909909909909916,0.9484802407992913
0.060060060060060066,0.9488016807193989
0.06021021021021021,0.9491224313990781
0.06036036036036037,0.9494424588707422
0.06051051051051051,0.9497618024216717
0.06066066066066066,0.9500804767642452
0.060810810810810814,0.950398460382691
0.060960960960960965,0.9507157799702178
0.061111111111111116,0.9510323572969352
0.06126126126126127,0.9513482744305763
0.06141141141141142,0.9516635176128249
0.06156156156156156,0.9519780906159682
0.06171171171171172,0.9522919686476303
0.061861861861861864,0.9526051798632094
0.062012012012012015,0.952917728464393
0.062162162162162166,0.9532295953730215
