Omega_b,Omega_cdm,n_s,A_s,h,Omega_k,Db_1,Db_2,Db_3,Db_4,Db_5,Db_6,Db_7,Db_8,Db_9,Db_10,Db_11,Db_12,Db_13,Db_14,Db_15,Db_16
0.017961154198274015,0.10987735856324435,0.9497704667411744,2.2387028690427542e-09,0.4318304817192256,-0.029953338950872432,1282.6339817041817,1788.7594024470498,2412.456173866315,3166.721693097066,4010.4307045583864,4845.3088717654455,5541.456085716881,5978.42548123233,6072.893021665122,5809.94387783486,5243.078784703664,4479.14028480656,3661.2989319023927,2926.258445531086,2385.7994335591698,2097.7114296117725
0.028480778303928672,0.19888712172396483,0.9852860587090254,1.9838234074413777e-09,0.80683134784922,0.11075636446475984,1000.5148070913682,1343.708450622017,1764.9589394174764,2286.4786385864695,2888.934151352438,3507.714964293314,4048.412901898772,4414.689387368899,4537.985663742395,4390.176219249831,3991.188731574899,3416.350503113319,2770.0598921716028,2146.187762120897,1639.1474040773903,1307.3764809533807
0.024810215681791304,0.08656589472666384,0.9676504336856305,2.3813638594001534e-09,1.0181292939931152,0.03384212777018547,1506.3742062142107,2202.825047543797,3073.4808221050334,4103.206886783903,5223.015537202639,6303.501548342161,7183.377573523678,7714.2564220504555,7799.85654735172,7426.684157784847,6661.657249445032,5641.311778396888,4545.066703296494,3541.6728480311417,2772.987656415615,2319.6075786623455
0.021794683760963378,0.1474463479127735,0.9768977079540491,1.6538309790194035e-09,0.7256289660930633,-0.10059464126825333,975.2363624137797,1422.2969510731705,2013.2824541940058,2712.3743991031665,3385.509884541952,3851.1567666166393,3968.091802712334,3703.213588975467,3135.588948675024,2435.8539678889183,1799.8165642108354,1378.1868787581707,1232.33938998418,1324.059885222655,1544.1141513065534,1759.0887993714034
0.019450230658985674,0.05192502951249481,0.9965834713913501,1.5424782717600466e-09,0.532447599247098,-0.07034253962337972,1038.524370417419,1650.6506368239036,2381.396477469612,3207.291546184853,4067.3680037385893,4853.172649658782,5444.3509196558625,5735.932207042514,5676.75002915351,5280.605225600309,4625.854694318915,3836.7347057710945,3055.7031183568897,2410.2461896869577,1987.8979424518254,1819.1663881782108
0.024340277099981905,0.14104026663117114,0.9460898376628756,2.2973577631637454e-09,1.1693978190422056,0.18875253833830358,1297.273684449256,1604.9604267925793,1999.6889378210496,2476.0722568537535,3035.219232006945,3660.444649356102,4310.6490055668455,4929.185585213418,5451.34756614759,5819.393154163657,5992.542319078475,5924.168074640126,5625.768351829067,5178.769143827722,4625.332913920919,3976.2929019586
0.028013159777037798,0.10338952913880349,0.9806003635562957,1.8374856347218156e-09,0.9016851047985255,0.06801653765141963,1054.937603947013,1506.9818256300105,2070.3258924171037,2745.6427461421813,3503.5421393594643,4275.994875022012,4966.691859422391,5474.829865088601,5722.260071991478,5668.140756722035,5314.90778620922,4719.7299144034105,3987.071957799747,3216.549224921247,2511.441291067159,1967.1574189917183
0.015618050191551446,0.16438407623209061,0.9563311022147536,2.0650184853002427e-09,0.4070145665667951,-0.19735128693282605,1095.1366403482114,1462.3090031036104,1941.4327279771067,2547.329242550177,3216.370731023194,3816.1278029285504,4206.436892869955,4288.777348504715,4044.3486328507624,3539.156981946611,2906.2532688060437,2298.091917480588,1850.0765402150403,1634.274245062187,1654.6671456626239,1844.636760371841
0.016787458481267094,0.07378496788442135,0.981421143040061,2.319078177213669e-09,0.8050217192620039,-0.14696811325848103,2208.693230747515,3793.791347676013,5621.163313298079,7017.782946404818,7300.529732461436,6346.06723364471,4694.8968424577815,3212.8488450122404,2538.271345582736,2732.1383785125413,3334.655369363989,3743.436541110193,3619.370787465627,3059.8321437350696,2457.4345311789675,2186.040492351774
0.026842024200595914,0.1535618087742478,0.9606665716134012,1.591543423011899e-09,0.5072468005120754,0.018399757519364346,869.9998662097557,1203.581454703028,1617.8773980162457,2127.1769168934356,2702.9475169767106,3276.964855009021,3756.556131351903,4056.271112204974,4114.893368995686,3919.5637517417877,3508.8756019397115,2954.1773429786494,2355.7158103000725,1809.5639264995489,1391.3599976215191,1146.0694247650329
